Strain,AMR_gene,Locus_tag,Category
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01003,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01007,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01011,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01015,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01019,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01023,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01027,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01031,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01035,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01039,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01043,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01047,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01051,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01055,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01059,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01063,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01067,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01071,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01075,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01079,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01083,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01087,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01091,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01095,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01099,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01103,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01107,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01111,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01115,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01119,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01123,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01127,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01131,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01135,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01139,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01143,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01147,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01151,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01155,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01159,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01163,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01167,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01171,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01175,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01179,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01183,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01187,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01191,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01195,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01199,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01203,Accessory
Acinetobacter_MRSN_58,aph(3')-Ia,OLNMEJKE_01207,Accessory
Acinetobacter_MRSN_58,blaOXA-23,OLNMEJKE_01219,Accessory
Acinetobacter_MRSN_58,blaOXA-69,OLNMEJKE_02021,Core
Acinetobacter_MRSN_58,dfrA1,OLNMEJKE_02331,Accessory
Acinetobacter_MRSN_58,sat2,OLNMEJKE_02332,Accessory
Acinetobacter_MRSN_58,aadA1,OLNMEJKE_02333,Accessory
Acinetobacter_MRSN_58,blaADC-191,OLNMEJKE_03058,Core
Acinetobacter_MRSN_58,blaOXA-23,OLNMEJKE_04065,Accessory
Acinetobacter_MRSN_58,aadA1,OLNMEJKE_04089,Accessory
Acinetobacter_MRSN_58,sat2,OLNMEJKE_04090,Accessory
Acinetobacter_MRSN_58,dfrA1,OLNMEJKE_04091,Accessory
Acinetobacter_MRSN_58,aph(6)-Id,NA,Unknown
Acinetobacter_MRSN_58,tet(B),OLNMEJKE_04098,Accessory
Acinetobacter_MRSN_58,sul2,OLNMEJKE_04100,Accessory
Acinetobacter_BAL114,blaADC-82,KIEDKKIJ_01111,Core
Acinetobacter_BAL114,aadA1,KIEDKKIJ_01351,Accessory
Acinetobacter_BAL114,qacEdelta1,KIEDKKIJ_01352,Accessory
Acinetobacter_BAL114,sul1,KIEDKKIJ_01353,Accessory
Acinetobacter_BAL114,armA,KIEDKKIJ_01356,Accessory
Acinetobacter_BAL114,msr(E),KIEDKKIJ_01359,Accessory
Acinetobacter_BAL114,mph(E),KIEDKKIJ_01360,Accessory
Acinetobacter_BAL114,blaOXA-66,KIEDKKIJ_02272,Core
Acinetobacter_BAL114,aac(3)-Ia,KIEDKKIJ_02792,Accessory
Acinetobacter_BAL114,aadA1,NA,Unknown
Acinetobacter_BAL114,qacEdelta1,KIEDKKIJ_02795,Accessory
Acinetobacter_BAL114,sul1,KIEDKKIJ_02796,Accessory
Acinetobacter_BAL114,aph(3')-Ia,KIEDKKIJ_02800,Accessory
Acinetobacter_BAL114,blaTEM-1,KIEDKKIJ_02804,Accessory
Acinetobacter_BAL114,aph(3'')-Ib,KIEDKKIJ_03843,Accessory
Acinetobacter_BAL114,aph(6)-Id,KIEDKKIJ_03844,Accessory
Acinetobacter_BAL114,tet(B),KIEDKKIJ_03849,Accessory
Acinetobacter_BAL114,ant(3'')-IIa,KIEDKKIJ_03933,Core
Acinetobacter_BAL114,blaOXA,KIEDKKIJ_03954,Accessory
Acinetobacter_361BC,blaOXA-65,FLFKFLGF_00355,Core
Acinetobacter_361BC,ant(3'')-IIa,FLFKFLGF_02573,Core
Acinetobacter_361BC,sul2,FLFKFLGF_02966,Accessory
Acinetobacter_361BC,aph(6)-Id,FLFKFLGF_02977,Accessory
Acinetobacter_361BC,aph(3'')-Ib,FLFKFLGF_02978,Accessory
Acinetobacter_361BC,blaOXA-239,FLFKFLGF_03432,Accessory
Acinetobacter_361BC,blaADC,FLFKFLGF_03865,Core
Acinetobacter_ATCC_19606,sul2,DGLPADFO_00104,Accessory
Acinetobacter_ATCC_19606,ant(3'')-IIa,DGLPADFO_00218,Core
Acinetobacter_ATCC_19606,blaOXA-98,DGLPADFO_01820,Core
Acinetobacter_ATCC_19606,blaADC-158,DGLPADFO_02779,Core
Acinetobacter_169D,blaOXA-65,AGIFJLMJ_00525,Core
Acinetobacter_169D,blaADC,AGIFJLMJ_01082,Core
Acinetobacter_169D,blaOXA-239,AGIFJLMJ_01466,Accessory
Acinetobacter_169D,aph(3'')-Ib,AGIFJLMJ_01913,Accessory
Acinetobacter_169D,aph(6)-Id,AGIFJLMJ_01914,Accessory
Acinetobacter_169D,sul2,AGIFJLMJ_01925,Accessory
Acinetobacter_169D,aph(3')-VIa,AGIFJLMJ_02250,Accessory
Acinetobacter_169D,aph(3')-VIa,AGIFJLMJ_02253,Accessory
Acinetobacter_169D,ant(3'')-IIa,AGIFJLMJ_02322,Core
Acinetobacter_169D,blaOXA-239,AGIFJLMJ_02490,Accessory
Acinetobacter_AR_0101,blaADC-214,DDAGMKMJ_00121,Core
Acinetobacter_AR_0101,sul2,DDAGMKMJ_00989,Accessory
Acinetobacter_AR_0101,aac(6')-Ian,DDAGMKMJ_00993,Accessory
Acinetobacter_AR_0101,aph(6)-Id,DDAGMKMJ_01003,Accessory
Acinetobacter_AR_0101,aph(3'')-Ib,DDAGMKMJ_01004,Accessory
Acinetobacter_AR_0101,ant(3'')-IIa,DDAGMKMJ_01391,Core
Acinetobacter_AR_0101,aac(6')-Ian,DDAGMKMJ_02948,Accessory
Acinetobacter_AR_0101,blaOXA-65,DDAGMKMJ_03033,Core
Acinetobacter_DETAB-E51,blaADC-30,OAHDEEOL_01102,Core
Acinetobacter_DETAB-E51,blaOXA-66,OAHDEEOL_01932,Core
Acinetobacter_DETAB-E51,blaOXA-23,OAHDEEOL_03153,Accessory
Acinetobacter_DETAB-E51,sul2,OAHDEEOL_03897,Accessory
Acinetobacter_DETAB-E51,ant(3'')-IIa,OAHDEEOL_03993,Core
Acinetobacter_VB82,blaOXA-64,BGFDGAOF_01250,Core
Acinetobacter_VB82,blaADC-26,BGFDGAOF_02559,Core
Acinetobacter_VB82,ant(3'')-IIa,BGFDGAOF_03786,Core
Acinetobacter_VB82,blaOXA-23,BGFDGAOF_03877,Accessory
Acinetobacter_VB82,aac(6')-Ian,BGFDGAOF_04157,Accessory
Acinetobacter_VB82,blaOXA-23,BGFDGAOF_04202,Accessory
Acinetobacter_VB82,aph(3'')-Ib,BGFDGAOF_04236,Accessory
Acinetobacter_VB82,aph(6)-Id,BGFDGAOF_04237,Accessory
Acinetobacter_VB82,sul2,BGFDGAOF_04241,Accessory
Acinetobacter_VB82,sul2,BGFDGAOF_04274,Accessory
Acinetobacter_VB82,tet(B),BGFDGAOF_04276,Accessory
Acinetobacter_VB82,mph(E),BGFDGAOF_04286,Accessory
Acinetobacter_VB82,msr(E),BGFDGAOF_04287,Accessory
Acinetobacter_VB82,armA,BGFDGAOF_04290,Accessory
Acinetobacter_VB82,sul1,BGFDGAOF_04294,Accessory
Acinetobacter_VB82,qacE,NA,Unknown
Acinetobacter_VB82,blaPER-7,BGFDGAOF_04297,Accessory
Acinetobacter_VB82,sul1,BGFDGAOF_04299,Accessory
Acinetobacter_VB82,qacEdelta1,BGFDGAOF_04300,Accessory
Acinetobacter_VB82,cmlA5,BGFDGAOF_04301,Accessory
Acinetobacter_VB82,arr-2,BGFDGAOF_04302,Accessory
Acinetobacter_96,blaADC-73,KEMADPAN_01144,Core
Acinetobacter_96,armA,KEMADPAN_01459,Accessory
Acinetobacter_96,msr(E),KEMADPAN_01462,Accessory
Acinetobacter_96,mph(E),KEMADPAN_01463,Accessory
Acinetobacter_96,sul2,KEMADPAN_02028,Accessory
Acinetobacter_96,blaOXA-66,KEMADPAN_02315,Core
Acinetobacter_96,blaTEM-1,KEMADPAN_02739,Accessory
Acinetobacter_96,blaOXA-23,KEMADPAN_02883,Accessory
Acinetobacter_96,aph(3'')-Ib,KEMADPAN_03833,Accessory
Acinetobacter_96,aph(6)-Id,KEMADPAN_03834,Accessory
Acinetobacter_96,tet(B),KEMADPAN_03839,Accessory
Acinetobacter_96,blaOXA-23,KEMADPAN_03844,Accessory
Acinetobacter_96,sul2,KEMADPAN_03861,Accessory
Acinetobacter_96,ant(3'')-IIa,KEMADPAN_03961,Core
Acinetobacter_96,aph(3')-VIb,KEMADPAN_04115,Accessory
Acinetobacter_XH858,ant(3'')-IIa,HPJNOLEP_00143,Core
Acinetobacter_XH858,blaOXA-23,HPJNOLEP_01014,Accessory
Acinetobacter_XH858,blaOXA-23,HPJNOLEP_01023,Accessory
Acinetobacter_XH858,blaOXA-23,HPJNOLEP_01032,Accessory
Acinetobacter_XH858,blaOXA,HPJNOLEP_01042,Accessory
Acinetobacter_XH858,blaOXA-23,HPJNOLEP_01052,Accessory
Acinetobacter_XH858,blaOXA-68,HPJNOLEP_01821,Core
Acinetobacter_XH858,blaADC-76,HPJNOLEP_02917,Core
Acinetobacter_XH858,sul2,HPJNOLEP_03029,Accessory
Acinetobacter_XH858,tet(B),HPJNOLEP_03031,Accessory
Acinetobacter_XH858,aph(6)-Id,HPJNOLEP_03036,Accessory
Acinetobacter_XH858,aph(3'')-Ib,HPJNOLEP_03037,Accessory
Acinetobacter_XH1041,aac(3)-IId,KGCBEBEM_04044,Accessory
Acinetobacter_XH1041,aph(3')-VIa,KGCBEBEM_04066,Accessory
Acinetobacter_XH1041,blaOXA-58,NA,Unknown
Acinetobacter_XH1041,ant(3'')-IIa,KGCBEBEM_00147,Core
Acinetobacter_XH1041,blaOXA-23,KGCBEBEM_01015,Accessory
Acinetobacter_XH1041,blaOXA-23,KGCBEBEM_01024,Accessory
Acinetobacter_XH1041,blaOXA-68,KGCBEBEM_01796,Core
Acinetobacter_XH1041,blaADC-76,KGCBEBEM_02894,Core
Acinetobacter_XH1041,sul2,KGCBEBEM_03006,Accessory
Acinetobacter_XH1041,tet(B),KGCBEBEM_03008,Accessory
Acinetobacter_XH1041,aph(6)-Id,KGCBEBEM_03013,Accessory
Acinetobacter_XH1041,aph(3'')-Ib,KGCBEBEM_03014,Accessory
Enterobacter_3143,blaCMH,JKKLIAPM_00390,Accessory
Enterobacter_3143,fosA,JKKLIAPM_00540,Accessory
Enterobacter_3143,oqxB,JKKLIAPM_02206,Accessory
Enterobacter_3143,oqxA,JKKLIAPM_02207,Accessory
Enterobacter_ATCC_13047,sul2,ADFEMJLK_01082,Accessory
Enterobacter_ATCC_13047,oqxA,ADFEMJLK_02529,Accessory
Enterobacter_ATCC_13047,oqxB,ADFEMJLK_02530,Accessory
Enterobacter_ATCC_13047,fosA,ADFEMJLK_04232,Accessory
Enterobacter_ATCC_13047,blaCMH-4,ADFEMJLK_04386,Accessory
Enterobacter_STK49-C,blaCMH,PAKFNHPM_00384,Accessory
Enterobacter_STK49-C,fosA,PAKFNHPM_00552,Accessory
Enterobacter_STK49-C,oqxB,PAKFNHPM_02047,Accessory
Enterobacter_STK49-C,oqxA,PAKFNHPM_02048,Accessory
Enterobacter_STK49-C,blaIMI-1,PAKFNHPM_03000,Accessory
Enterobacter_STK71-C,blaCMH,IIFKNFLO_00399,Accessory
Enterobacter_STK71-C,fosA,IIFKNFLO_00550,Accessory
Enterobacter_STK71-C,oqxB,IIFKNFLO_02162,Accessory
Enterobacter_STK71-C,oqxA,IIFKNFLO_02163,Accessory
Enterobacter_STK71-C,blaIMI-1,IIFKNFLO_03109,Accessory
Enterobacter_CZ862,blaTEM-1,EKOBGIND_00108,Accessory
Enterobacter_CZ862,catA2,EKOBGIND_00115,Accessory
Enterobacter_CZ862,aac(6')-Ib3,EKOBGIND_00118,Accessory
Enterobacter_CZ862,aph(3')-Ia,EKOBGIND_00364,Accessory
Enterobacter_CZ862,blaCMH-16,EKOBGIND_03369,Accessory
Enterobacter_CZ862,fosA,EKOBGIND_03510,Accessory
Enterobacter_CZ862,aph(3')-Ia,EKOBGIND_04461,Accessory
Enterobacter_CZ862,aph(3')-Ia,EKOBGIND_04763,Accessory
Enterobacter_CZ862,sul2,EKOBGIND_05109,Accessory
Enterobacter_CZ862,blaGES-5,EKOBGIND_05407,Accessory
Enterobacter_CZ862,blaGES-1,EKOBGIND_05408,Accessory
